Date,Sentiment,Stock Return
2019-11-07,1.0,21.942667
2019-11-11,4.0,22.93
2019-11-12,4.0,23.126667
2019-11-13,2.0,23.666668
2019-11-14,1.0,23.073999
2019-11-15,6.0,23.375999
2019-11-19,3.0,23.450001
2019-11-21,4.0,23.634001
2019-11-22,8.0,22.677334
2019-11-25,6.0,22.954666
2019-11-27,8.0,22.074667
2019-12-02,8.0,21.959999
2019-12-04,2.0,22.516666
2019-12-12,7.0,23.661333
2019-12-13,10.0,24.07
2019-12-18,6.0,25.375334
2019-12-19,6.0,26.488001
2019-12-20,4.0,27.352667
2019-12-23,8.0,27.452
2019-12-26,4.0,28.527332
2019-12-27,5.0,29.0
2019-12-30,4.0,28.586
2020-01-07,6.0,30.76
2020-01-08,5.0,31.58
2020-01-09,10.0,33.139999
2020-01-10,7.0,32.119331
2020-01-14,2.0,36.284
2020-01-16,4.0,32.916668
2020-01-17,5.0,33.840668
2020-01-22,4.0,38.125999
2020-01-24,6.0,38.042
2020-01-27,2.0,36.132668
2020-01-28,6.0,37.899334
2020-01-29,6.0,38.379333
2020-01-30,6.0,42.161331
2020-01-31,7.0,42.666668
2020-02-03,6.0,44.912666
2020-02-04,3.0,58.863998
2020-02-05,4.0,54.883999
2020-02-06,4.0,46.661331
2020-02-07,2.0,48.703335
2020-02-10,2.0,53.333332
2020-02-12,7.0,51.858002
2020-02-14,6.0,52.481335
2020-02-19,5.0,61.566666
2020-02-20,2.0,60.796665
2020-02-21,8.0,60.465332
2020-02-25,4.0,56.599998
2020-03-02,2.0,47.417332
2020-03-03,6.0,53.666668
2020-03-06,10.0,46.0
2020-03-10,7.0,43.962002
2020-03-11,6.0,42.68
2020-03-16,4.0,31.299999
2020-03-18,5.0,25.933332
2020-03-19,4.0,24.98
2020-03-24,5.0,31.82
2020-03-26,4.0,36.492668
2020-03-27,3.0,33.666668
2020-03-30,1.0,34.017334
2020-03-31,9.0,33.416668
2020-04-06,4.0,34.080002
2020-04-07,4.0,36.333332
2020-04-08,4.0,36.946667
2020-04-13,9.0,39.344002
2020-04-14,3.0,46.598
2020-04-16,4.0,47.796001
2020-04-17,3.0,51.485332
2020-04-22,8.0,46.931999
2020-04-23,3.0,48.506668
2020-04-24,2.0,47.387333
2020-04-27,4.0,49.174
2020-04-29,5.0,52.678001
2020-04-30,5.0,57.012669
2020-05-01,6.0,50.333332
2020-05-04,5.0,46.733334
2020-05-06,10.0,51.766666
2020-05-11,5.0,52.700668
2020-05-12,9.0,55.133331
2020-05-13,8.0,54.722
2020-05-14,6.0,52.0
2020-05-15,4.0,52.689999
2020-05-18,2.0,55.185333
2020-05-19,10.0,54.344666
2020-05-22,10.0,54.811333
2020-05-26,7.0,55.633331
2020-05-27,10.0,54.723999
2020-06-02,10.0,59.646667
2020-06-08,3.0,61.266666
2020-06-10,2.0,66.125336
2020-06-11,10.0,66.013336
2020-06-15,3.0,61.186001
2020-06-19,9.0,67.518669
2020-06-22,3.0,66.66333
2020-06-25,5.0,63.618
2020-06-26,8.0,66.318665
2020-06-30,7.0,67.099998
2020-07-01,2.0,72.199997
2020-07-02,6.0,81.431999
2020-07-09,7.0,93.132668
2020-07-10,4.0,93.066666
2020-07-15,9.0,102.866669
2020-07-20,4.0,101.267334
2020-07-21,8.0,109.328667
2020-07-22,7.0,106.599998
2020-07-23,2.0,111.93
2020-07-24,6.0,94.400665
2020-07-27,8.0,95.666664
2020-07-30,5.0,99.199997
2020-07-31,10.0,101.0
2020-08-06,7.0,99.388664
2020-08-07,2.0,99.96933
2020-08-11,4.0,93.066666
2020-08-14,4.0,110.999336
2020-08-17,4.0,111.800003
2020-08-18,6.0,126.599335
2020-08-19,5.0,124.333336
2020-08-20,5.0,124.045334
2020-08-21,7.0,136.317337
2020-08-26,2.0,137.333328
2020-08-27,4.0,145.363998
2020-08-28,4.0,153.007996
2020-08-31,8.0,148.203339
2020-09-03,4.0,135.743332
2020-09-04,5.0,134.270004
2020-09-08,7.0,118.666664
2020-09-09,2.0,118.866669
2020-09-10,3.0,128.736664
2020-09-11,7.0,127.313332
2020-09-15,6.0,145.520004
2020-09-16,5.0,146.623337
2020-09-17,5.0,138.53334
2020-09-18,9.0,149.313339
2020-09-21,4.0,151.043335
2020-09-23,9.0,135.053329
2020-09-24,3.0,121.26667
2020-09-25,7.0,131.156662
2020-10-05,2.0,141.116669
2020-10-06,3.0,141.263336
2020-10-13,8.0,147.78334
2020-10-14,7.0,149.926666
2020-10-20,4.0,143.916672
2020-10-21,5.0,140.899994
2020-10-22,4.0,147.306671
2020-10-28,7.0,138.82666
2020-10-29,5.0,136.653336
2020-11-02,4.0,131.333328
2020-11-05,5.0,142.766663
2020-11-06,8.0,145.366669
2020-11-09,7.0,146.5
2020-11-10,7.0,140.029999
2020-11-12,5.0,138.350006
2020-11-13,7.0,136.949997
2020-11-16,8.0,136.309998
2020-11-17,4.0,153.389999
2020-11-18,5.0,149.449997
2020-11-24,4.0,180.133331
2020-11-25,4.0,183.353333
2020-12-02,4.0,185.479996
2020-12-03,4.0,196.67334
2020-12-07,6.0,201.639999
2020-12-08,7.0,208.503326
2020-12-09,8.0,217.896667
2020-12-10,7.0,191.456665
2020-12-14,8.0,206.333328
